departure_airport_name,departure_airport_code,arrival_airport_name,arrival_airport_code,airline_name,airline_assured_name,departure_city_name,departure_city_code,arrival_city_name,arrival_city_code,stopover_count,stopover_city_name,stopover_city_code,stopover_airport_name,stopover_airport_code,stopover_country,departure_country_name,departure_country_code,arrival_country_name,arrival_country_code,distance
Aéroport de Paris-Orly,ORY,Aéroport de Laroche,BVE,HOP!,,Paris,PAR,Brive-La-Gaillarde,BVE,0,,,,,,France,FR,France,FR,404
Aéroport de Charles De Gaulle,CDG,Aéroport International Otopeni,OTP,Air France,,Paris,PAR,Bucarest,BUH,0,,,,,,France,FR,Roumanie,RO,1852
Aéroport de Charles De Gaulle,CDG,Aéroport de Ferihegy,BUD,Air France,,Paris,PAR,Budapest,BUD,0,,,,,,France,FR,Hongrie,HU,1247
Aéroport de Paris-Orly,ORY,Aéroport de Ferihegy,BUD,Transavia France,,Paris,PAR,Budapest,BUD,0,,,,,,France,FR,Hongrie,HU,1260
Aéroport de Charles De Gaulle,CDG,Aéroport de Ministro Pistarini,EZE,Air France,,Paris,PAR,Buenos Aires,BUE,0,,,,,,France,FR,Argentine,AR,11111
Aéroport de Charles De Gaulle,CDG,Aéroport de Sainte Catherine,CLY,Air France,HOP!,Paris,PAR,Calvi,CLY,0,,,,,,France,FR,France,FR,869
Aéroport de Paris-Orly,ORY,Aéroport de Sainte Catherine,CLY,Air France,,Paris,PAR,Calvi,CLY,0,,,,,,France,FR,France,FR,853
Aéroport de Charles De Gaulle,CDG,Aéroport de Cancun,CUN,Air France,,Paris,PAR,Cancun,CUN,0,,,,,,France,FR,Mexique,MX,8227
Aéroport de Charles De Gaulle,CDG,Aéroport de Simon Bolivar,CCS,Air France,,Paris,PAR,Caracas,CCS,0,,,,,,France,FR,Vénézuela,VE,7640
Aéroport de Charles De Gaulle,CDG,Aéroport de Mohamed V,CMN,Air France,,Paris,PAR,Casablanca,CAS,0,,,,,,France,FR,Maroc,MA,1933
