departure_airport_name,departure_airport_code,departure_city_name,departure_city_code,departure_city_longitude,departure_city_latitude,departure_country_name,departure_country_code,arrival_airport_name,arrival_airport_code,arrival_city_name,arrival_city_code,arrival_city_longitude,arrival_city_latitude,arrival_country_name,arrival_country_code,airline_name,airline_assured_name,stopover_count,stopover_city_name,stopover_city_code,stopover_city_longitude,stopover_city_latitude,stopover_airport_name,stopover_airport_code,stopover_country,distance,type
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Biarritz Parme,BIQ,Biarritz,BIQ,-1.52,43.47,France,FR,Air France,HOP!,0,,,,,,,,657,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Bilbao,BIO,Bilbao,BIO,-2.92,43.3,Espagne et Îles Canaries,ES,Air France,HOP!,0,,,,,,,,763,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Billund,BLL,Billund,BLL,9.15,55.74,Danemark,DK,Air France,HOP!,0,,,,,,,,872,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Birmingham,BHX,Birmingham,BHX,-1.84,52.52,Royaume-Uni,GB,Air France,,0,,,,,,,,488,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Rabil,BVC,Boa Vista Island,BVC,-22.83,16.14,Cap-Vert,CV,Transavia France,,0,,,,,,,,4292,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Eldorado,BOG,Bogota,BOG,-74.08,4.6,Colombie,CO,Air France,,0,,,,,,,,8653,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Guglielmo Marconi,BLQ,Bologne,BLQ,11.29,44.53,Italie,IT,Air France,,0,,,,,,,,832,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Bordeaux,BOD,Bordeaux,BOD,-0.58,44.83,France,FR,Air France,,0,,,,,,,,528,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Bordeaux,BOD,Bordeaux,BOD,-0.58,44.83,France,FR,Air France,,0,,,,,,,,492,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Logan,BOS,"Boston, MA",BOS,-71.06,42.37,États-Unis d'Amérique,US,Air France,,0,,,,,,,,5541,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Maya Maya,BZV,Brazzaville,BZV,15.25,-4.25,Congo,CG,Air France,,0,,,,,,,,6056,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Bremen,BRE,Brême,BRE,8.79,53.05,Allemagne,DE,Air France,HOP!,0,,,,,,,,626,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Guipavas,BES,Brest,BES,-4.49,48.39,France,FR,Air France,,0,,,,,,,,515,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Guipavas,BES,Brest,BES,-4.49,48.39,France,FR,Air France,HOP!,0,,,,,,,,501,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Guipavas,BES,Brest,BES,-4.49,48.39,France,FR,Air France,,0,,,,,,,,501,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Laroche,BVE,Brive-La-Gaillarde,BVE,1.53,45.17,France,FR,HOP!,,0,,,,,,,,404,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Otopeni,OTP,Bucarest,BUH,26.1,44.43,Roumanie,RO,Air France,,0,,,,,,,,1852,LineString
